Material Repair Log - 2026-02-22 01:36:17.380796
============================================================

3DKitbashing/cameras_and_sensors_01_assets.blend: found=5, marked=0, skipped=5
Benianus/Nara_coat_stand_assets.blend: found=4, marked=2, skipped=2
Benianus/Naviglio_sofa_assets.blend: found=8, marked=5, skipped=3
Benianus/Noonu_Sofa_assets.blend: found=6, marked=3, skipped=3
Benianus/NOT WOOD _ Stool By True Design_assets.blend: found=5, marked=3, skipped=2
Benianus/Outside_the_cage_Chair_assets.blend: found=5, marked=2, skipped=3
Benianus/Pictures_001_assets.blend: found=5, marked=3, skipped=2
Benianus/SERIES 430 _ Chair By Verpan_assets.blend: found=5, marked=2, skipped=3
Benianus/Skan hanging lampes - Vibia_assets.blend: found=6, marked=3, skipped=3
Benianus/SOAVE _ Armchair By La Cividina_assets.blend: found=5, marked=2, skipped=3
Benianus/Soborg Chair metal base Archmair_assets.blend: found=5, marked=3, skipped=2
Benianus/Soborg Chair metal base_assets.blend: found=7, marked=5, skipped=2
Benianus/Soborg chair_assets.blend: found=4, marked=1, skipped=3
Benianus/Spanish_dining_chair_assets.blend: found=5, marked=2, skipped=3
Benianus/Spoke_back_sofa_assets.blend: found=6, marked=3, skipped=3
Benianus/Stingray_chair_assets.blend: found=7, marked=4, skipped=3
Benianus/TABLE SOLVAY - Vitra_assets.blend: found=4, marked=1, skipped=3
Benianus/Tabouret Solvay_assets.blend: found=4, marked=2, skipped=2
Benianus/Tai_chair_assets.blend: found=6, marked=3, skipped=3
Benianus/Times_lounge1_assets.blend: found=4, marked=2, skipped=2
Benianus/Torii_sofa_assets.blend: found=5, marked=2, skipped=3
Benianus/UP _ Round coffee table By La Cividina_assets.blend: found=7, marked=4, skipped=3
Benianus/Vanity_fair_armchair_assets.blend: found=8, marked=5, skipped=3
Benianus/Viola_chair_assets.blend: found=5, marked=2, skipped=3
Benianus/VTRCR INDUZIONE 5P KE BLK 86 By Foster_assets.blend: found=4, marked=1, skipped=3
Brooklyn/Brooklyn_assets.blend: found=5, marked=2, skipped=3
Brutalist/Brutalist_assets.blend: found=2, marked=0, skipped=2
Cyberdistrict/Cyberdistrict_assets.blend: found=119, marked=116, skipped=3
Dieselpunk/Dieselpunk_assets.blend: found=92, marked=51, skipped=41
Dune/DUNE_assets.blend: found=3, marked=1, skipped=2
Dune/Dust Haze_assets.blend: found=3, marked=1, skipped=2
Dune/IMPERIAL_assets.blend: found=4, marked=2, skipped=2
Dune/Landscape Geo_assets.blend: found=3, marked=1, skipped=2
Dune/Mountain 1_assets.blend: found=3, marked=1, skipped=2
Dune/Mountain 2_assets.blend: found=3, marked=1, skipped=2
Dune/Mountain 3_assets.blend: found=3, marked=1, skipped=2
Dune/Sand Dunes Geo_assets.blend: found=3, marked=1, skipped=2
Edo Japan/Edo Japan_assets.blend: found=10, marked=8, skipped=2
kpacks/202_SYMBOLS_VOL_001/HUD_001_BONUS_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/HUD_002_BONUS_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/HUD_003_BONUS_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/HUD_004_BONUS_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/HUD_005_BONUS_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_00100_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0010_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0011_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0012_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0013_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0014_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0015_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0016_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0017_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0018_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0019_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_001_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0020_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0021_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0022_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0023_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0024_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0025_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0026_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0027_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0028_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0029_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_002_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0030_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0031_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0032_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0033_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0034_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0035_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0036_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0037_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0038_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0039_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_003_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0040_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0041_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0042_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0043_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0044_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0045_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0046_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0047_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0048_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0049_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_004_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0050_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0051_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0052_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0053_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0054_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0055_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0056_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0057_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0058_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0059_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_005_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0060_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0061_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0062_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0063_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0064_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0065_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0066_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0067_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0068_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0069_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_006_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0070_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0071_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0072_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0073_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0074_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0075_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0076_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0077_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0078_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0079_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_007_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0080_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0081_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0082_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0083_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0084_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0085_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0086_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0087_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0088_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0089_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_008_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0090_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0091_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0092_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0093_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0094_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0095_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0096_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0097_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0098_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_0099_assets.blend: found=3, marked=1, skipped=2
kpacks/202_SYMBOLS_VOL_001/SYM_009_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-2050/ceiling-01_assets.blend: found=6, marked=4, skipped=2
kpacks/Arch-2050/column-01_assets.blend: found=5, marked=3, skipped=2
kpacks/Arch-2050/column-02_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-2050/cw-drone_assets.blend: found=16, marked=14, skipped=2
kpacks/Arch-2050/cw-glass-cycles_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-2050/desk-foot_assets.blend: found=5, marked=3, skipped=2
kpacks/Arch-2050/faucet_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-2050/floating-robot-hologram_assets.blend: found=4, marked=2, skipped=2
kpacks/Arch-2050/floor-01_assets.blend: found=4, marked=2, skipped=2
kpacks/Arch-2050/floor-02_assets.blend: found=4, marked=2, skipped=2
kpacks/Arch-2050/floor-03_assets.blend: found=4, marked=2, skipped=2
kpacks/Arch-2050/grav-desk-collapsed_assets.blend: found=9, marked=7, skipped=2
kpacks/Arch-2050/grav-desk_assets.blend: found=13, marked=11, skipped=2
kpacks/Arch-2050/handle-knurled-alum_assets.blend: found=4, marked=2, skipped=2
kpacks/Arch-2050/HibCap01_assets.blend: found=23, marked=21, skipped=2
kpacks/Arch-2050/holographic-display_assets.blend: found=19, marked=17, skipped=2
kpacks/Arch-2050/hyper-chair_assets.blend: found=4, marked=2, skipped=2
kpacks/Arch-2050/MA-9-monitor-array_assets.blend: found=11, marked=9, skipped=2
kpacks/Arch-2050/orange-fabric_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-2050/part-30-1_assets.blend: found=9, marked=7, skipped=2
kpacks/Arch-2050/part-industrial_assets.blend: found=7, marked=5, skipped=2
kpacks/Arch-2050/partition-thin_assets.blend: found=8, marked=6, skipped=2
kpacks/Arch-2050/pcb_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-2050/robo-chair_assets.blend: found=7, marked=5, skipped=2
kpacks/Arch-2050/spot-1_assets.blend: found=6, marked=4, skipped=2
kpacks/Arch-2050/spot-2_assets.blend: found=5, marked=3, skipped=2
kpacks/Arch-2050/spot-3_assets.blend: found=5, marked=3, skipped=2
kpacks/Arch-2050/spot-4_assets.blend: found=7, marked=5, skipped=2
kpacks/Arch-2050/sy_glossy_display_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-2050/table-01_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-2050/VK-mach-2021_assets.blend: found=11, marked=9, skipped=2
kpacks/Arch-2050/wall-lamp-1_assets.blend: found=5, marked=3, skipped=2
kpacks/Arch-2050/wall-lamp-scoop_assets.blend: found=4, marked=2, skipped=2
kpacks/Arch-2050/Wet Decal_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/102_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/105_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/109_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/112_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/115_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/116_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/118_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/120_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/130_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/132_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/146_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/151_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/152_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/153_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/155_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/157_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/158_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/161_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/163_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/165_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/168_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/173_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/174_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/176_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/180_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/183_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/184_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/185_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/186_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/187_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/188_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/190_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/192_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/193_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/194_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/195_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/196_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/197_assets.blend: found=3, marked=1, skipped=2
kpacks/Arch-Panels/198_assets.blend: found=3, marked=1, skipped=2
kpacks/DM+/+.cube-a-slice_assets.blend: found=3, marked=1, skipped=2
kpacks/DM+/+.cube-a_assets.blend: found=3, marked=1, skipped=2
kpacks/DM+/+.cube-b_assets.blend: found=3, marked=1, skipped=2
kpacks/DM+/+.cube_assets.blend: found=3, marked=1, skipped=2
kpacks/DM+/+.cyl-slice_assets.blend: found=3, marked=1, skipped=2
kpacks/DM+/+.cylinder-hole_assets.blend: found=3, marked=1, skipped=2
kpacks/DM+/+.cylinder_assets.blend: found=3, marked=1, skipped=2
kpacks/DM+/+.rib_edge-01_assets.blend: found=3, marked=1, skipped=2
kpacks/DM+/+.screw-modifier_assets.blend: found=3, marked=1, skipped=2
kpacks/DM+/+.sphere-half_assets.blend: found=3, marked=1, skipped=2
kpacks/DM+/+.sphere_assets.blend: found=3, marked=1, skipped=2
kpacks/DM+/+.vertex-extrude-mirror_assets.blend: found=3, marked=1, skipped=2
kpacks/DM+/+.vertex-extrude_assets.blend: found=3, marked=1, skipped=2
kpacks/DM+/+.vertex-path_assets.blend: found=3, marked=1, skipped=2
kpacks/DM+/+bullet-var-sides-slice_assets.blend: found=3, marked=1, skipped=2
kpacks/DM+/+bullet-var-sides_assets.blend: found=3, marked=1, skipped=2
kpacks/DM+/+cube-06_assets.blend: found=3, marked=1, skipped=2
kpacks/DM+/+cube-chamfer_assets.blend: found=3, marked=1, skipped=2
kpacks/DM+/+cube-rounded_assets.blend: found=3, marked=1, skipped=2
kpacks/DM+/+cube-torpedo_assets.blend: found=3, marked=1, skipped=2
kpacks/DM+/+cyl-chamf_assets.blend: found=3, marked=1, skipped=2
kpacks/DM+/+cyl-flip-var-sides_assets.blend: found=3, marked=1, skipped=2
kpacks/DM+/+cyl-half_assets.blend: found=3, marked=1, skipped=2
kpacks/DM+/+cyl-rounded-42_assets.blend: found=3, marked=1, skipped=2
kpacks/DM+/+d-mount_assets.blend: found=3, marked=1, skipped=2
kpacks/DM+/+fillet-wall_assets.blend: found=3, marked=1, skipped=2
kpacks/DM+/+obtuse-01_assets.blend: found=3, marked=1, skipped=2
kpacks/DM+/+obtuse-02_assets.blend: found=3, marked=1, skipped=2
kpacks/DM+/+obtuse-03_assets.blend: found=3, marked=1, skipped=2
kpacks/DM+/+obtuse-04_assets.blend: found=3, marked=1, skipped=2
kpacks/DM+/+obtuse-05_assets.blend: found=3, marked=1, skipped=2
kpacks/DM+/+obtuse-06_assets.blend: found=3, marked=1, skipped=2
kpacks/DM+/+obtuse-07_assets.blend: found=3, marked=1, skipped=2
kpacks/DM+/+pie_assets.blend: found=3, marked=1, skipped=2
kpacks/DM+/+tab_assets.blend: found=3, marked=1, skipped=2
kpacks/DM+/+torpedo-flip-48_assets.blend: found=3, marked=1, skipped=2
kpacks/DM+/+torpedo_assets.blend: found=3, marked=1, skipped=2
kpacks/DM+/Cube_assets.blend: found=28, marked=26, skipped=2
kpacks/DM-/-.cube-chamfer_assets.blend: found=3, marked=1, skipped=2
kpacks/DM-/-.cube-rect-chamfer_assets.blend: found=3, marked=1, skipped=2
kpacks/DM-/-.cube-sliced-bevel_assets.blend: found=3, marked=1, skipped=2
kpacks/DM-/-.cube-sliced_assets.blend: found=3, marked=1, skipped=2
kpacks/DM-/-.cube_assets.blend: found=3, marked=1, skipped=2
kpacks/DM-/-.cyl-slice_assets.blend: found=3, marked=1, skipped=2
kpacks/DM-/-.cylinder_assets.blend: found=3, marked=1, skipped=2
